date,portfolio_value,cash,positions_value,daily_return,daily_pnl,cumulative_return,cumulative_pnl,num_positions
2013-09-13,71096.44530622318,47641.72799970015,23454.717306523024,6.815163741017112e-05,4.845008966367459,-0.28903554693776823,-28903.554693776823,5
2013-09-16,71025.51990086718,63922.967910780455,7102.551990086722,-0.0009975942545441385,-70.92540535599983,-0.2897448009913282,-28974.480099132823,1
2013-09-17,70998.3887336472,59418.55153118934,11579.837202457857,-0.0003819918144611793,-27.131167219980853,-0.29001611266352806,-29001.611266352804,3
2013-09-18,71051.58729401487,58077.567454127755,12974.019839887114,0.0007492925024995879,53.19856036767305,-0.2894841270598513,-28948.41270598513,3
2013-09-19,70998.46007200933,51914.07400465323,19084.3860673561,-0.000747727447462881,-53.12722200553981,-0.2900153992799067,-29001.53992799067,3
2013-09-20,70826.45795404904,48169.07405454875,22657.383899500288,-0.002422617586153851,-172.0021179602918,-0.2917354204595096,-29173.542045950962,4
2013-09-23,70529.834012809,55196.648098424324,15333.185914384681,-0.004188038620150626,-296.62394124003185,-0.29470165987190994,-29470.165987190994,3
2013-09-24,70499.34942944859,53353.90764820669,17145.441781241898,-0.00043222253089214915,-30.484583360419492,-0.2950065057055141,-29500.650570551414,3
2013-09-25,70472.64908684551,51874.91699282699,18597.732094018524,-0.0003787317587914983,-26.700342603071476,-0.2952735091315449,-29527.350913154485,4
2013-09-26,70496.49287216835,51716.22717102269,18780.26570114566,0.00033834098237821904,23.843785322838812,-0.29503507127831646,-29503.507127831646,4
2013-09-27,70479.39594525081,42773.945399172735,27705.45054607808,-0.00024252166626986967,-17.09692691754026,-0.2952060405474919,-29520.604054749187,5
2013-09-30,70388.46025009057,37770.4477701986,32618.01247989197,-0.0012902450984522966,-90.93569516023854,-0.29611539749909427,-29611.539749909425,5
2013-10-01,70309.46161926047,50011.12004977998,20298.341569480493,-0.0011223236102824066,-78.99863083010132,-0.2969053838073953,-29690.538380739526,4
2013-10-02,70317.1765134426,54425.49462140454,15891.681892038054,0.00010972768108934133,7.714894182121498,-0.296828234865574,-29682.823486557405,4
2013-10-03,70325.1421032066,56260.11368256528,14065.02842064132,0.0001132808533983346,7.965589764004108,-0.296748578967934,-29674.8578967934,2
2013-10-04,70345.40135839806,56276.32108671844,14069.080271679617,0.00028807983298099874,20.25925519145676,-0.2965459864160194,-29654.598641601944,2
2013-10-07,70403.0918105888,55125.620887691024,15277.470922897774,0.0008201026801569952,57.69045219074178,-0.29596908189411203,-29596.908189411202,3
2013-10-08,70382.96721107552,55236.55266725207,15146.414543823448,-0.00028584823472555015,-20.124599513277644,-0.2961703278892448,-29617.03278892448,3
2013-10-09,70084.69802679817,46192.82446946266,23891.873557335508,-0.004237803492752056,-298.26918427734927,-0.2991530197320183,-29915.30197320183,5
2013-10-10,70248.78279640948,43371.59849850322,26877.184297906257,0.00234123530857712,164.0847696113051,-0.29751217203590524,-29751.217203590524,7
2013-10-11,70189.5017868607,56095.44982805907,14094.051958801625,-0.0008438724087303363,-59.281009548780276,-0.298104982131393,-29810.498213139304,4
2013-10-14,70237.65214918093,35118.826074590484,35118.82607459044,0.0006860051873062787,48.15036232022976,-0.29762347850819076,-29762.347850819075,8
2013-10-15,70182.12387228795,31925.848149503792,38256.27572278416,-0.0007905770650624332,-55.528276892975555,-0.2981787612771205,-29817.87612771205,10
2013-10-16,70248.25271620447,28865.00704108842,41383.24567511605,0.0009422462625505332,66.12884391652187,-0.29751747283795527,-29751.74728379553,11
2013-10-17,70233.21609220096,10415.585946473388,59817.63014572758,-0.00021404979372588367,-15.036624003507313,-0.2976678390779904,-29766.783907799036,13
2013-10-18,70220.01885631066,13952.71774674895,56267.30110956171,-0.0001879059029985934,-13.197235890300362,-0.2977998114368934,-29779.981143689336,11
2013-10-21,70207.04726354913,19945.82212757431,50261.22513597482,-0.0001847278450334219,-12.97159276153252,-0.2979295273645087,-29792.95273645087,12
2013-10-22,70630.01717480739,30830.00249680341,39800.01467800398,0.00602460761055055,422.96991125826025,-0.2936998282519261,-29369.98282519261,10
2013-10-23,70376.2476719282,17706.66391425713,52669.58375767107,-0.0035929412596788766,-253.76950287919317,-0.296237523280718,-29623.7523280718,10
