,0
2021-08-03,42023.417735500276
2021-08-04,41946.892415500275
2021-08-05,41920.12627150028
2021-08-06,41894.46107350027
2021-08-09,41887.793523500266
2021-08-10,41925.050723500266
2021-08-11,41899.16522350027
2021-08-12,41923.54722350027
2021-08-13,41905.35047350026
2021-08-16,41898.29132250025
2021-08-17,41833.337392500245
2021-08-18,41799.03416950024
2021-08-19,41634.04848150024
2021-08-20,41614.27404250024
2021-08-23,41690.43499050023
2021-08-24,41671.024303500235
2021-08-25,41632.98484350022
2021-08-26,41589.53154350022
2021-08-27,41632.485543500225
2021-08-30,41575.14211150023
2021-08-31,41493.83187900022
2021-09-01,41419.35872800022
2021-09-02,41379.29421600021
2021-09-03,41471.99601600022
2021-09-07,41236.69523300021
2021-09-08,41173.21376500021
2021-09-09,41109.19766500021
2021-09-10,41236.1938975002
2021-09-13,41236.49775100019
2021-09-14,41225.455551000196
2021-09-15,41371.89995100019
2021-09-16,41182.09958100018
2021-09-17,41127.896691000176
2021-09-20,41028.92857800018
2021-09-21,41055.683457500185
2021-09-22,41122.65663450019
2021-09-23,41155.1531575002
2021-09-24,41201.763157500194
2021-09-27,41316.48315750019
2021-09-28,41244.13815750018
2021-09-29,41214.79815750018
2021-09-30,41206.46815750018
2021-10-01,41240.093157500174
2021-10-04,41338.37315750017
2021-10-05,41414.69315750017
2021-10-06,41320.57315750017
2021-10-07,41410.656107500174
2021-10-08,41453.638807500174
2021-10-11,41450.459207500164
2021-10-12,41445.62515750016
2021-10-13,41482.012657500156
2021-10-14,41559.377657500154
2021-10-15,41641.33515750016
2021-10-18,41584.913707500156
2021-10-19,41617.72040750016
2021-10-20,41687.30440750015
2021-10-21,41570.40550750015
2021-10-22,41641.74665750016
2021-10-25,41672.72360750016
2021-10-26,41578.58040750016
2021-10-27,41485.26320750015
2021-10-28,41497.90280750014
2021-10-29,41472.979007500144
2021-11-01,41591.60060750015
2021-11-02,41423.297407500155
2021-11-03,41339.82760750017
2021-11-04,41329.11815750017
2021-11-05,41340.21815750016
2021-11-08,41343.098157500164
2021-11-09,41349.01551350016
2021-11-10,41470.10729750017
2021-11-11,41611.86729750017
2021-11-12,41685.747297500166
2021-11-15,41658.48729750016
2021-11-16,41597.79729750016
2021-11-17,41778.80729750015
2021-11-18,41829.68229750015
2021-11-19,41819.53229750015
2021-11-22,41789.30729750015
